linija,vozilo,smjer,okretište,vrijeme,trajanje,red
1S,B101,prema,Dubrava,04:53,5,dnevni
1,B101,od,Dubrava,05:00,10,dnevni
1,B101,od,Dubrava,05:25,10,dnevni
1,B101,od,Dubrava,05:50,10,dnevni
1,B101,od,Dubrava,06:15,10,dnevni
1,B101,od,Dubrava,06:39,10,dnevni
1,B101,od,Dubrava,07:00,10,dnevni
1,B101,od,Dubrava,07:21,10,dnevni
1,B101,od,Dubrava,07:42,10,dnevni
1,B101,od,Dubrava,08:03,10,dnevni
1,B101,od,Dubrava,08:25,10,dnevni
1,B101,od,Dubrava,08:50,10,dnevni
1,B101,od,Dubrava,09:15,10,dnevni
1,B101,od,Dubrava,09:40,10,dnevni
1,B101,od,Dubrava,10:05,10,dnevni
1,B101,od,Dubrava,10:30,10,dnevni
1,B101,od,Dubrava,10:55,10,dnevni
1,B101,od,Dubrava,11:20,10,dnevni
1,B101,od,Dubrava,11:45,10,dnevni
1,B101,od,Dubrava,12:10,10,dnevni
1,B101,od,Dubrava,12:35,10,dnevni
1,B101,od,Dubrava,13:00,10,dnevni
1,B101,od,Dubrava,13:25,10,dnevni
1,B101,od,Dubrava,13:50,10,dnevni
1,B101,od,Dubrava,14:15,10,dnevni
1,B101,od,Dubrava,14:40,10,dnevni
1,B101,od,Dubrava,15:00,10,dnevni
1,B101,od,Dubrava,15:20,10,dnevni
1,B101,od,Dubrava,15:40,10,dnevni
1,B101,od,Dubrava,16:00,10,dnevni
1,B101,od,Dubrava,16:20,10,dnevni
1,B101,od,Dubrava,16:40,10,dnevni
1,B101,od,Dubrava,17:00,10,dnevni
1,B101,od,Dubrava,17:25,10,dnevni
1,B101,od,Dubrava,17:50,10,dnevni
1,B101,od,Dubrava,18:15,10,dnevni
1,B101,od,Dubrava,18:40,10,dnevni
1,B101,od,Dubrava,19:05,10,dnevni
1,B101,od,Dubrava,19:30,10,dnevni
1,B101,od,Dubrava,19:55,10,dnevni
1,B101,od,Dubrava,20:20,10,dnevni
1,B101,od,Dubrava,20:45,10,dnevni
1,B101,od,Dubrava,21:10,10,dnevni
1,B101,od,Dubrava,21:35,10,dnevni
1,B101,od,Dubrava,22:00,10,dnevni
1,B101,od,Dubrava,22:25,10,dnevni
1,B101,od,Dubrava,22:50,10,dnevni
1S,B101,od,Dubrava,23:15,5,dnevni
1,B101,od,Pešija,05:12,10,dnevni
1,B101,od,Pešija,05:37,10,dnevni
1,B101,od,Pešija,06:02,10,dnevni
1,B101,od,Pešija,06:27,10,dnevni
1,B101,od,Pešija,06:49,10,dnevni
1,B101,od,Pešija,07:10,10,dnevni
1,B101,od,Pešija,07:31,10,dnevni
1,B101,od,Pešija,07:52,10,dnevni
1,B101,od,Pešija,08:13,10,dnevni
1,B101,od,Pešija,08:37,10,dnevni
1,B101,od,Pešija,09:02,10,dnevni
1,B101,od,Pešija,09:27,10,dnevni
1,B101,od,Pešija,09:52,10,dnevni
1,B101,od,Pešija,10:17,10,dnevni
1,B101,od,Pešija,10:42,10,dnevni
1,B101,od,Pešija,11:07,10,dnevni
1,B101,od,Pešija,11:32,10,dnevni
1,B101,od,Pešija,11:57,10,dnevni
1,B101,od,Pešija,12:22,10,dnevni
1,B101,od,Pešija,12:47,10,dnevni
1,B101,od,Pešija,13:12,10,dnevni
1,B101,od,Pešija,13:37,10,dnevni
