linija;pocetak;stanice_ID;kraj
#LINIJA 1
#Linija 1 Pešija-Dubrava
1_P-D;POINT(43.37682789,17.39696519);1,2,3,8,4,7,9,6,10,5,11,13,14,15,16,17,18,19,20,21,22,23,24,25,90,74,73,72,71,70,69,68,89,67,66;POINT(43.343555492,17.439066253)
#Linija 1 Dubrava-Pešija
1_D-P;POINT(43.343555492,17.439066253);66,67,89,68,69,70,71,72,73,74,90,25,24,23,22,21,20,19,18,17,16,15,94,12,93,5,10,6,9,7,4,8,3,2,1;POINT(43.37682789,17.39696519)
#Linija 1S Spremište-Pešija
1S_S-P;POINT(43.364231004,17.414445544);28,27,25,24,23,22,21,20,19,18,17,16,15,94,12,93,5,10,6,9,7,4,8,3,2,1;POINT(43.37682789,17.39696519)
#Linija 1S Spremište-Dubrava
1S_S-D;POINT(43.364231004,17.414445544);28,27,90,74,73,72,71,70,69,68,89,67,66;POINT(43.343555492,17.439066253)
#Linija 1S Pešija-Spremište
1S_P-S;POINT(43.37682789,17.39696519);1,2,3,8,4,7,9,6,10,5,11,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28;POINT(43.364231004,17.414445544)
#Linija 1S Dubrava-Spremište
1S_D-S;POINT(43.343555492,17.439066253);66,67,89,68,69,70,71,72,73,74,90,27,28;POINT(43.364231004,17.414445544)

#LINIJA 2
#Linija 2 Pešija-Krštelica
2_P-K;POINT(43.376764991,17.397012566);1,2,3,8,4,7,9,6,10,5,11,13,94,12,57,58,59,60,61,62,63,75,76,77,96,50,51,52,53,54,55,56,48,47,46,41,42,44,45,43;POINT(43.366745031,17.446194405)
#Linija 2 Krštelica-Pešija
2_K-P;POINT(43.366745031,17.446194405);43,45,44,42,41,46,47,48,56,55,54,53,52,51,50,96,77,76,75,63,62,61,60,59,58,57,93,5,10,6,9,7,4,8,3,2,1;POINT(43.376764991,17.397012566)
#Linija 2S Spremište-Pešija
2S_S-P;POINT(43.364210308,17.414597806);28,92,29,30,31,32,33,34,35,36,13,94,12,93,5,10,6,9,7,4,8,3,2,1;POINT(43.376764991,17.397012566)
#Linija 2S Spremište-Krštelica
2S_S-K;POINT(43.364210308,17.414597806);28,27,25,24,23,22,21,95,37,38,39,64,40,41,42,44,45,43;POINT(43.366745031,17.446194405)
#Linija 2S Pešija-Spremište
2S_P-S;POINT(43.376764991,17.397012566);1,2,3,8,4,7,9,6,10,5,11,36,35,34,33,32,31,30,29,92,28;POINT(43.364210308,17.414597806)
#Linija 2S Krštelica-Spremište
2S_K-S;POINT(43.366745031,17.446194405);43,45,44,42,41,40,64,39,38,37,95,21,22,23,24,25,27,28;POINT(43.364210308,17.414597806)

#LINIJA 3
#Linija 3 Krštelica - Prispa
3_K-PR;POINT(43.366824161,17.446188480);43,45,44,42,41,40,64,39,38,37,95,19,18,17,16,15,94,12,11,36,35,34,33,32,31,30,29,92,27,97;POINT(43.361580409,17.418357412)
#Linija 3 Prispa - Krštelica
3_PR-K;POINT(43.361580409,17.418357412);97,27,92,29,30,31,32,33,34,35,36,13,14,15,16,17,18,19,95,37,38,39,64,40,41,42,44,45,43;POINT(43.366824161,17.446188480)
#Linija 3S Spremište - Krštelica
3S_S-K;POINT(43.364187808,17.414757498);28,92,29,30,31,32,33,34,35,36,13,14,15,16,17,18,19,95,37,38,39,64,40,41,42,44,45,43;POINT(43.366824161,17.446188480)
#Linija 3S Spremište - Prispa
3S_S-PR;POINT(43.364187808,17.414757498);28,27,97;POINT(43.361580409,17.418357412)
#Linija 3S Krštelica - Spremište
3S_K-S;POINT(43.366824161,17.446188480);43,45,44,42,41,40,64,39,38,37,95,19,18,17,16,15,94,12,11,36,35,34,33,32,31,30,29,92,28;POINT(43.364187808,17.414757498)
#Linija 3S Prispa - Spremište
3S_PR-S;POINT(43.361580409,17.418357412);97,27,28;POINT(43.364187808,17.414757498)

#LINIJA 4
#Linija 4 Gomilice - Prispa
4_G-PR;POINT(43.377975059,17.408702388);49,50,51,52,53,54,55,56,48,47,46,98,40,64,39,38,37,20,21,22,23,24,25,26;POINT(43.361662368,17.418912593)
#Linija 4 Prispa - Gomilice
4_PR-G;POINT(43.361662368,17.418912593);26,25,24,23,22,21,20,37,38,39,64,40,98,46,47,48,56,55,54,53,52,51,50,49;POINT(43.377975059,17.408702388)
#Linija 4 Gomilice - Prispa (iznimka, za polaske u 9:10 i 17:02 od Gomilice)
4_G-PR_DEPOT;POINT(43.377975059,17.408702388);49,50,51,52,53,54,55,56,48,47,46,98,40,64,39,38,37,20,21,22,23,24,25,97;POINT(43.361580431,17.418357462)
#Linija 4S Spremište - Gomilice
4S_S-G;POINT(43.364167108,17.414896144);28,27,25,24,23,22,21,20,37,38,39,64,40,98,46,47,48,56,55,54,53,52,51,50,49;POINT(43.377975059,17.408702388)
#Linija 4S Spremište - Prispa
4S_S-PR;POINT(43.364167108,17.414896144);28,27,26;POINT(43.361662368,17.418912593)
#Linija 4S Gomilice - Spremište
4S_G-S;POINT(43.377975059,17.408702388);49,50,51,52,53,54,55,56,48,47,46,98,40,64,39,38,37,20,21,22,23,24,25,27,28;POINT(43.364167108,17.414896144)
#Linija 4S Prispa - Spremište (napomena: polazi s okretišta Prispa - zapad, a ne s okretišta Prispa - sjever)
4S_PR-S;POINT(43.361580431,17.418357462);97,27,28;POINT(43.364167108,17.414896144)

#LINIJA 5
#Linija 5 Poljanice - Gomilice
5_PO-G;POINT(43.330528101,17.444135788);79,80,81,82,87,83,86,84,88,85,68,69,70,71,72,73,74,90,27,92,29,30,31,32,33,34,35,36,13,94,12,57,58,59,60,61,62,63,75,76,77,49;POINT(43.377797395,17.408681024)
#Linija 5 Gomilice - Poljanice
5_G-PO;POINT(43.377797395,17.408681024);49,77,76,75,63,62,61,60,59,58,57,11,36,35,34,33,32,31,30,29,92,27,90,74,73,72,71,70,69,68,85,88,84,86,83,87,82,81,80,79;POINT(43.330528101,17.444135788)
#Linija 5S Spremište - Poljanice
5S_S-PO;POINT(43.364150010,17.415038503);28,27,90,74,73,72,71,70,69,68,85,88,84,86,83,87,82,81,80,79;POINT(43.330528101,17.444135788)
#Linija 5S Spremište - Gomilice
5S_S-G;POINT(43.364150010,17.415038503);28,92,29,30,31,32,33,34,35,36,13,94,12,57,58,59,60,61,62,63,75,76,77,49;POINT(43.377797395,17.408681024)
#Linija 5S Poljanice - Spremište
5S_PO-S;POINT(43.330528101,17.444135788);79,80,81,82,87,83,86,84,88,85,68,69,70,71,72,73,74,90,27,28;POINT(43.364150010,17.415038503)
#Linija 5S Gomilice - Spremište
5S_G-S;POINT(43.377797395,17.408681024);49,77,76,75,63,62,61,60,59,58,57,11,36,35,34,33,32,31,30,29,92,28;POINT(43.364150010,17.415038503)

#LINIJA P1
#Linija P1 Krštelica - Poljanice
P1_K-PO;POINT(43.366824387,17.446187672);43,45,44,42,41,40,64,39,38,37,95,19,18,17,16,15,94,12,11,36,35,34,33,32,31,30,29,92,27,90,74,73,72,71,70,69,68,85,88,84,86,83,87,82,81,80,79;POINT(43.330527894,17.444135837)
#Linija P1 Poljanice - Krštelica
P1_PO-K;POINT(43.330527894,17.444135837);79,80,81,82,87,83,86,84,88,85,68,69,70,71,72,73,74,90,27,92,29,30,31,32,33,34,35,36,13,14,15,16,17,18,19,95,37,38,39,64,40,41,42,44,45,43;POINT(43.366824387,17.446187672)
#Linija P1S Spremište - Krštelica
P1S_S-K;POINT(43.364066079,17.415161614);28,92,29,30,31,32,33,34,35,36,13,14,15,16,17,18,19,95,37,38,39,64,40,41,42,44,45,43;POINT(43.366824387,17.446187672)
#Linija P1S Spremište - Poljanice
P1S_S-PO;POINT(43.364066079,17.415161614);28,27,90,74,73,72,71,70,69,68,85,88,84,86,83,87,82,81,80,79;POINT(43.330527894,17.444135837)
#Linija P1S Krštelica - Spremište
P1S_K-S;POINT(43.366824387,17.446187672);43,45,44,42,41,40,64,39,38,37,95,19,18,17,16,15,94,12,11,36,35,34,33,32,31,30,29,92,28;POINT(43.364066079,17.415161614)
#Linija P1S Poljanice - Spremište
P1S_PO-S;POINT(43.330527894,17.444135837);79,80,81,82,87,83,86,84,88,85,68,69,70,71,72,73,74,90,27,28;POINT(43.364066079,17.415161614)

#LINIJA P2
#Linija P2 Pešija - Dubrava
P2_P-D;POINT(43.376764991,17.397012566);1,2,3,8,4,7,9,6,10,5,11,13,94,12,57,58,59,60,61,62,63,75,76,77,96,50,51,52,53,54,55,56,48,47,46,98,40,64,39,38,37,95,21,22,23,24,25,90,74,73,72,71,70,69,68,89,67,66;POINT(43.343555497,17.439066280)
#Linija P2 Dubrava - Pešija
P2_D-P;POINT(43.343555497,17.439066280);66,67,89,68,69,70,71,72,73,74,90,25,24,23,22,21,95,37,38,39,64,40,98,46,47,48,56,55,54,53,52,51,50,96,77,76,75,63,62,61,60,59,58,57,93,5,10,6,9,7,4,8,3,2,1;POINT(43.376764991,17.397012566)
#Linija P2S Spremište - Pešija
P2S_S-P;POINT(43.364043598,17.415169924);28,27,25,24,23,22,21,20,19,18,17,16,15,94,12,93,5,10,6,9,7,4,8,3,2,1;POINT(43.376764991,17.397012566)
#Linija P2S Spremište - Dubrava
P2S_S-D;POINT(43.364043598,17.415169924);28,27,90,74,73,72,71,70,69,68,89,67,66;POINT(43.343555497,17.439066280)
#Linija P2S Pešija - Spremište
P2S_P-S;POINT(43.376764991,17.397012566);1,2,3,8,4,7,9,6,10,5,11,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28;POINT(43.364043598,17.415169924)
#Linija P2S Dubrava - Spremište
P2S_D-S;POINT(43.343555497,17.439066280);66,67,89,68,69,70,71,72,73,74,90,27,28;POINT(43.364043598,17.415169924)
